Scrip,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
NIL,18/06/2025,679.12,-0.47,685,675,675,"21,978","1,49,62,915.50"
NIL,17/06/2025,682.36,0.2,688.5,680.1,680.3,"15,594","1,06,68,076.80"
NIL,16/06/2025,680.97,-0.1,690,676.5,690,"21,014","1,43,65,314.50"
NIL,15/06/2025,681.66,-1.62,690,680,685.2,"31,032","2,12,16,818.90"
NIL,12/06/2025,692.91,0.1,698.9,692,694,"8,967","62,18,202.40"
NIL,11/06/2025,692.2,-1.24,705,690.2,690.2,"11,947","83,15,203.90"
NIL,10/06/2025,700.9,1.31,703.7,690,699,"6,248","43,65,444.00"
NIL,09/06/2025,691.86,-0.45,700,691.1,700,"10,382","71,82,497.00"
NIL,08/06/2025,694.98,-0.15,698,691.1,695,"10,145","70,48,548.60"
NIL,05/06/2025,696.02,-0.42,703,691.2,698,"3,980","27,73,492.20"
NIL,04/06/2025,698.93,-1.38,721.9,697,721.9,"8,956","62,58,457.70"
NIL,03/06/2025,708.69,-0.67,715,707,707,"4,271","30,33,703.50"
NIL,02/06/2025,713.49,0.55,735,710,723.8,"9,826","70,06,432.40"
NIL,28/05/2025,709.62,-0.63,712,703,710,"10,402","73,47,684.40"
NIL,27/05/2025,714.13,-0.48,718,712,717,"4,845","34,69,294.60"
NIL,26/05/2025,717.61,1.33,725,709.1,722.3,"8,589","61,63,665.70"
NIL,25/05/2025,708.18,0.28,714,700,700.6,"6,841","48,40,644.90"
NIL,22/05/2025,706.2,0.07,719,705.5,719,"5,923","41,87,830.00"
NIL,21/05/2025,705.71,0.68,728,702,714.9,"7,100","50,43,983.90"
NIL,20/05/2025,700.91,1.17,705,689,689.1,"10,133","70,30,799.80"
NIL,19/05/2025,692.79,0.34,698.1,691,698,"4,112","28,47,334.30"
NIL,18/05/2025,690.46,-0.4,700,687,700,"16,253","1,12,41,310.20"
NIL,15/05/2025,693.21,-0.62,700,691,700,"9,731","67,37,838.80"
NIL,14/05/2025,697.56,-0.71,704,697.1,700,"6,789","47,46,879.00"
NIL,13/05/2025,702.52,1.73,704.5,693,693,"8,396","58,91,533.30"
NIL,11/05/2025,738.9,-2.97,766,738,764,"27,677","2,07,50,993.20"
NIL,08/05/2025,761.48,1.91,762.6,747.1,749.9,"11,583","87,90,701.00"
NIL,07/05/2025,747.18,1.54,751,730.3,733,"6,675","49,52,706.50"
NIL,06/05/2025,735.82,0.07,740,734.2,736,"4,049","29,78,513.50"
NIL,05/05/2025,735.28,-0.22,744,735,744,"11,429","84,08,732.70"
NIL,04/05/2025,736.93,0.32,746,730,736,"18,334","1,34,55,342.60"
NIL,30/04/2025,734.6,0.1,748.5,733.9,748.5,"3,897","28,65,082.30"
NIL,29/04/2025,733.86,-0.26,745,733.5,745,"7,533","55,47,937.00"
